INTAKEID,RECVDATE,AE_CATEGORY,AE_SHORT,ADVERSE_EVENT,FINDING_DETAIL,ASPEN_FACID,NAME,ASPEN_FACTYPE_LABEL,LAT,LON
CA00842834,26-May-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA930000129,VALLEY PRESBYTERIAN HOSPITAL,General Acute Care Hospital,34.194384,-118.462752
CA00896513,23-Apr-24,01 - Surgical Events,04: Retained Foreign Object,04: Retention of a Foreign Object After Surgery/Procedure,Substantiated with deficiencies,CA630011203,KAISER FOUNDATION HOSPITAL - ANTIOCH,General Acute Care Hospital,37.950696,-121.774824
CA00925801,16-Oct-24,06 - Criminal Events,26: Sexual Assault,26: Sexual Assault on a Patient Within or on the Grounds of a Health Facility,Unsubstantiated,CA9300036,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,General Acute Care Hospital,34.13115,-117.97281
CA00869756,13-Nov-23,05 - Environmental Events,23: Restraint/Bedrail,23: Death/Serious Disability Associated with Use of Restraints/Bedrails,Substantiated without deficiencies,CA930001543,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,General Acute Care Hospital,34.065468,-117.985212
CA00921812,23-Sep-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA250000044,"DOCTORS HOSPITAL OF RIVERSIDE, LLC",General Acute Care Hospital,33.926868,-117.439101
CA00926169,18-Oct-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA250000044,"DOCTORS HOSPITAL OF RIVERSIDE, LLC",General Acute Care Hospital,33.926868,-117.439101
CA00931454,20-Nov-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA250000044,"DOCTORS HOSPITAL OF RIVERSIDE, LLC",General Acute Care Hospital,33.926868,-117.439101
CA00828467,24-Feb-23,06 - Criminal Events,26: Sexual Assault,26: Sexual Assault on a Patient Within or on the Grounds of a Health Facility,Substantiated without deficiencies,CA060000014,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,General Acute Care Hospital,33.625233,-117.931329
CA00820664,11-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,24,KAISER FOUNDATION HOSPITAL FONTANA,General Acute Care Hospital,,
CA00819238,3-Jan-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,24000151,KINDRED HOSPITAL RANCHO,General Acute Care Hospital,34.103529,-117.5663205
